rownames(lm_sig)	sig
A136RL1Q225SBEA	7.612707215448575e-8
A354RL1Q225SBEA	3.344409665777346e-6
(Intercept)	8.453239927762296e-6
A014RY2A224NBEA	4.010497860171403e-5
A023RL1Q225SBEA	7.573626113467769e-5
A2009L1A225NBEA	2.232004237231784e-4
A030RC1Q027SBEA	2.2985048417167666e-4
CES0600000006	2.667653093224679e-4
A043RC1A027NBEA	3.4289873734809974e-4
A019RE1A156NBEA	4.3175225610609817e-4
A356RL1Q225SBEA	9.601405511858366e-4
A145RC1A027NBEA	0.0013150708233850394
A011RL1A225NBEA	0.0014064072074710064
A024RL1A225NBEA	0.0016221677486901007
A325RL1Q225SBEA	0.0017645461332013515
A021RL1Q158SBEA	0.001981441430507165
A001RO1Q156NBEA	0.0023040661357021926
A2033C1A027NBEA	0.0037960634504297717
A1589C1A027NBEA	0.006158304320363421
A021RY2Q224SBEA	0.0075719276336394
A1402C1A027NBEA	0.009383462595394444
A006RL1Q225SBEA	0.016930634243421727
A133RL1Q225SBEA	0.017336865916412727
A136RL1A225NBEA	0.02255340138274273
A011RL1Q225SBEA	0.026807991301964925
CEU5000000001	0.032709438383857474
FEDFUNDS	0.03485663457946223
CES1000000007	0.03677278365809036
A020RO1Q156NBEA	0.03953316342716701
A2010C1A027NBEA	0.04335840991944146
A108RC1A027NBEA	0.044223451792512344
A015RC1Q027SBEA	0.046517767616682665
A009RL1Q225SBEA	0.047778191108086426
A107RE1A156NBEA	0.04913494753710524
